Downloaded on,4/19/19,12:32:59 EDT,,,
Search URL,https://www.congress.gov/search?searchResultViewType=expanded&q=%7B%22source%22%3A%22members%22%2C%22chamber%22%3A%22House%22%2C%22congress%22%3A%22101%22%7D,,,,
Name,URL,State,District,Party,Terms
"Representative Ackerman, Gary L.",https://www.congress.gov/member/gary-ackerman/A000022,New York,5,Democratic,House: 1983-2013
"Senator Akaka, Daniel K.",https://www.congress.gov/member/daniel-akaka/A000069,Hawaii,,Democratic,Senate: 1990-2013 | House: 1977-1991
"Representative Alexander, Bill",https://www.congress.gov/member/william-alexander/A000103,Arkansas,1,Democratic,House: 1969-1993
"Representative Anderson, Glenn M.",https://www.congress.gov/member/glenn-anderson/A000189,California,32,Democratic,House: 1969-1993
"Representative Andrews, Michael",https://www.congress.gov/member/michael-andrews/A000209,Texas,25,Democratic,House: 1983-1995
"Representative Andrews, Robert E.",https://www.congress.gov/member/robert-andrews/A000210,New Jersey,1,Democratic,House: 1989-2014
"Representative Annunzio, Frank",https://www.congress.gov/member/frank-annunzio/A000212,Illinois,11,Democratic,House: 1965-1993
"Representative Anthony, Beryl, Jr.",https://www.congress.gov/member/beryl-anthony/A000213,Arkansas,4,Democratic,House: 1979-1993
"Representative Applegate, Douglas",https://www.congress.gov/member/douglas-applegate/A000214,Ohio,18,Democratic,House: 1977-1995
"Representative Archer, Bill",https://www.congress.gov/member/bill-archer/A000215,Texas,7,Republican,House: 1971-2001
"Representative Armey, Richard K.",https://www.congress.gov/member/dick-armey/A000217,Texas,26,Republican,House: 1985-2003
"Representative Aspin, Les",https://www.congress.gov/member/les-aspin/A000224,Wisconsin,1,Democratic,House: 1971-1995
"Representative Atkins, Chester G.",https://www.congress.gov/member/chester-atkins/A000226,Massachusetts,5,Democratic,House: 1985-1993
"Representative AuCoin, Les",https://www.congress.gov/member/les-aucoin/A000337,Oregon,1,Democratic,House: 1975-1993
"Representative Baker, Richard H.",https://www.congress.gov/member/richard-baker/B000072,Louisiana,6,Republican,House: 1987-2008
"Representative Ballenger, Cass",https://www.congress.gov/member/cass-ballenger/B000104,North Carolina,10,Republican,House: 1985-2005
"Representative Barnard, Doug, Jr.",https://www.congress.gov/member/doug-barnard/B000153,Georgia,10,Democratic,House: 1977-1993
"Representative Bartlett, Steve",https://www.congress.gov/member/steve-bartlett/B000204,Texas,3,Republican,House: 1983-1993
"Representative Barton, Joe",https://www.congress.gov/member/joe-barton/B000213,Texas,6,Republican,House: 1985-2019
"Representative Bateman, Herbert H.",https://www.congress.gov/member/herbert-bateman/B000229,Virginia,1,Republican,House: 1983-2001
"Representative Bates, Jim",https://www.congress.gov/member/jim-bates/B000236,California,44,Democratic,House: 1983-1991
"Representative Beilenson, Anthony C.",https://www.congress.gov/member/anthony-beilenson/B000318,California,24,Democratic,House: 1977-1997
"Representative Bennett, Charles E.",https://www.congress.gov/member/charles-bennett/B000371,Florida,3,Democratic,House: 1949-1993
"Representative Bentley, Helen Delich",https://www.congress.gov/member/helen-bentley/B000392,Maryland,2,Republican,House: 1985-1995
"Representative Bereuter, Doug",https://www.congress.gov/member/douglas-bereuter/B000403,Nebraska,1,Republican,House: 1979-2004
"Representative Berman, Howard L.",https://www.congress.gov/member/howard-berman/B000410,California,28,Democratic,House: 1983-2013
"Representative Bevill, Tom",https://www.congress.gov/member/tom-bevill/B000431,Alabama,4,Democratic,House: 1967-1997
"Representative Bilbray, James H.",https://www.congress.gov/member/james-bilbray/B000462,Nevada,1,Democratic,House: 1987-1995
