Downloaded on,4/19/19,12:30:12 EDT,,,
Search URL,https://www.congress.gov/search?searchResultViewType=expanded&q=%7B%22source%22%3A%22members%22%2C%22chamber%22%3A%22House%22%2C%22congress%22%3A%5B%22103%22%5D%7D,,,,
Name,URL,State,District,Party,Terms
"Representative Abercrombie, Neil",https://www.congress.gov/member/neil-abercrombie/A000014,Hawaii,1,Democratic,"House: 1985-1987, 1991-2011"
"Representative Ackerman, Gary L.",https://www.congress.gov/member/gary-ackerman/A000022,New York,5,Democratic,House: 1983-2013
"Senator Allard, Wayne",https://www.congress.gov/member/a-allard/A000109,Colorado,,Republican,Senate: 1997-2009 | House: 1991-1997
"Representative Andrews, Michael",https://www.congress.gov/member/michael-andrews/A000209,Texas,25,Democratic,House: 1983-1995
"Representative Andrews, Robert E.",https://www.congress.gov/member/robert-andrews/A000210,New Jersey,1,Democratic,House: 1989-2014
"Representative Andrews, Thomas H.",https://www.congress.gov/member/thomas-andrews/A000211,Maine,1,Democratic,House: 1991-1995
"Representative Applegate, Douglas",https://www.congress.gov/member/douglas-applegate/A000214,Ohio,18,Democratic,House: 1977-1995
"Representative Archer, Bill",https://www.congress.gov/member/bill-archer/A000215,Texas,7,Republican,House: 1971-2001
"Representative Armey, Richard K.",https://www.congress.gov/member/dick-armey/A000217,Texas,26,Republican,House: 1985-2003
"Representative Aspin, Les",https://www.congress.gov/member/les-aspin/A000224,Wisconsin,1,Democratic,House: 1971-1995
"Representative Bacchus, Jim",https://www.congress.gov/member/jim-bacchus/B000008,Florida,15,Democratic,House: 1991-1995
"Representative Bachus, Spencer",https://www.congress.gov/member/spencer-bachus/B000013,Alabama,6,Republican,House: 1993-2015
"Representative Baesler, Scotty",https://www.congress.gov/member/scotty-baesler/B000028,Kentucky,6,Democratic,House: 1993-1999
"Representative Baker, Bill",https://www.congress.gov/member/bill-baker/B000078,California,10,Republican,House: 1993-1997
"Representative Baker, Richard H.",https://www.congress.gov/member/richard-baker/B000072,Louisiana,6,Republican,House: 1987-2008
"Representative Ballenger, Cass",https://www.congress.gov/member/cass-ballenger/B000104,North Carolina,10,Republican,House: 1985-2005
"Representative Barca, Peter",https://www.congress.gov/member/peter-barca/B001226,Wisconsin,1,Democratic,House: 1993-1995
"Representative Barcia, James A.",https://www.congress.gov/member/james-barcia/B000134,Michigan,5,Democratic,House: 1993-2003
"Representative Barlow, Tom",https://www.congress.gov/member/tom-barlow/B000151,Kentucky,1,Democratic,House: 1993-1995
"Representative Barrett, Bill",https://www.congress.gov/member/bill-barrett/B000179,Nebraska,3,Republican,House: 1991-2001
"Representative Barrett, Thomas M.",https://www.congress.gov/member/thomas-barrett/B000177,Wisconsin,5,Democratic,House: 1993-2003
"Representative Bartlett, Roscoe G.",https://www.congress.gov/member/roscoe-bartlett/B000208,Maryland,6,Republican,House: 1993-2013
"Representative Barton, Joe",https://www.congress.gov/member/joe-barton/B000213,Texas,6,Republican,House: 1985-2019
"Representative Bateman, Herbert H.",https://www.congress.gov/member/herbert-bateman/B000229,Virginia,1,Republican,House: 1983-2001
"Representative Becerra, Xavier",https://www.congress.gov/member/xavier-becerra/B000287,California,34,Democratic,House: 1993-2017
"Representative Beilenson, Anthony C.",https://www.congress.gov/member/anthony-beilenson/B000318,California,24,Democratic,House: 1977-1997
"Representative Bentley, Helen Delich",https://www.congress.gov/member/helen-bentley/B000392,Maryland,2,Republican,House: 1985-1995
"Representative Bereuter, Doug",https://www.congress.gov/member/douglas-bereuter/B000403,Nebraska,1,Republican,House: 1979-2004
"Representative Berman, Howard L.",https://www.congress.gov/member/howard-berman/B000410,California,28,Democratic,House: 1983-2013
"Representative Bevill, Tom",https://www.congress.gov/member/tom-bevill/B000431,Alabama,4,Democratic,House: 1967-1997
"Representative Bilbray, James H.",https://www.congress.gov/member/james-bilbray/B000462,Nevada,1,Democratic,House: 1987-1995
"Representative Bilirakis, Michael",https://www.congress.gov/member/michael-bilirakis/B000463,Florida,9,Republican,House: 1983-2007
"Representative Bishop, Sanford D., Jr.",https://www.congress.gov/member/sanford-bishop/B000490,Georgia,2,Democratic,House: 1993-Present
"Representative Blackwell, Lucien E.",https://www.congress.gov/member/lucien-blackwell/B000517,Pennsylvania,2,Democratic,House: 1991-1995
"Representative Bliley, Tom",https://www.congress.gov/member/thomas-bliley/B000556,Virginia,7,Republican,House: 1981-2001
"Representative Blute, Peter I.",https://www.congress.gov/member/peter-blute/B000576,Massachusetts,3,Republican,House: 1993-1997
"Representative Boehlert, Sherwood",https://www.congress.gov/member/sherwood-boehlert/B000586,New York,24,Republican,House: 1983-2007
"Representative Boehner, John A.",https://www.congress.gov/member/john-boehner/B000589,Ohio,8,Republican,House: 1991-2015
"Representative Bonilla, Henry",https://www.congress.gov/member/henry-bonilla/B000617,Texas,23,Republican,House: 1993-2007
"Representative Bonior, David E.",https://www.congress.gov/member/david-bonior/B000619,Michigan,10,Democratic,House: 1977-2003
"Representative Borski, Robert A.",https://www.congress.gov/member/robert-borski/B000644,Pennsylvania,3,Democratic,House: 1983-2003
"Representative Boucher, Rick",https://www.congress.gov/member/rick-boucher/B000657,Virginia,9,Democratic,House: 1983-2011
"Representative Brewster, Bill K.",https://www.congress.gov/member/bill-brewster/B000817,Oklahoma,3,Democratic,House: 1991-1997
"Representative Brooks, Jack B.",https://www.congress.gov/member/jack-brooks/B000880,Texas,9,Democratic,House: 1953-1995
"Representative Browder, Glen",https://www.congress.gov/member/glen-browder/B000897,Alabama,3,Democratic,House: 1989-1997
"Representative Brown, Corrine",https://www.congress.gov/member/corrine-brown/B000911,Florida,5,Democratic,House: 1993-2017
"Representative Brown, George E., Jr.",https://www.congress.gov/member/george-brown/B000918,California,42,Democratic,"House: 1963-1971, 1973-2001"
"Senator Brown, Sherrod",https://www.congress.gov/member/sherrod-brown/B000944,Ohio,,Democratic,Senate: 2007-Present | House: 1993-2007
"Representative Bryant, John W.",https://www.congress.gov/member/john-bryant/B000997,Texas,5,Democratic,House: 1983-1997
"Senator Bunning, Jim",https://www.congress.gov/member/jim-bunning/B001066,Kentucky,,Republican,Senate: 1999-2011 | House: 1987-1999
"Representative Burton, Dan",https://www.congress.gov/member/dan-burton/B001149,Indiana,5,Republican,House: 1983-2013
"Representative Buyer, Steve",https://www.congress.gov/member/stephen-buyer/B001203,Indiana,4,Republican,House: 1993-2011
"Representative Byrne, Leslie L.",https://www.congress.gov/member/leslie-byrne/B001213,Virginia,11,Democratic,House: 1993-1995
"Representative Callahan, Sonny",https://www.congress.gov/member/h-callahan/C000052,Alabama,1,Republican,House: 1985-2003
"Representative Calvert, Ken",https://www.congress.gov/member/ken-calvert/C000059,California,42,Republican,House: 1993-Present
"Representative Camp, Dave",https://www.congress.gov/member/dave-camp/C000071,Michigan,4,Republican,House: 1991-2015
"Representative Canady, Charles T.",https://www.congress.gov/member/charles-canady/C000107,Florida,12,Republican,House: 1993-2001
"Senator Cantwell, Maria",https://www.congress.gov/member/maria-cantwell/C000127,Washington,,Democratic,Senate: 2001-Present | House: 1993-1995
"Senator Cardin, Benjamin L.",https://www.congress.gov/member/benjamin-cardin/C000141,Maryland,,Democratic,Senate: 2007-Present | House: 1987-2007
"Representative Carr, Bob",https://www.congress.gov/member/bob-carr/C000178,Michigan,8,Democratic,"House: 1975-1981, 1983-1995"
"Representative Castle, Michael N.",https://www.congress.gov/member/michael-castle/C000243,Delaware,,Republican,House: 1993-2011
"Representative Chapman, Jim",https://www.congress.gov/member/jim-chapman/C000312,Texas,1,Democratic,House: 1985-1997
"Representative Clay, William (Bill)",https://www.congress.gov/member/william-clay/C000488,Missouri,1,Democratic,House: 1969-2001
"Representative Clayton, Eva M.",https://www.congress.gov/member/eva-clayton/C000494,North Carolina,1,Democratic,House: 1991-2003
"Representative Clement, Bob",https://www.congress.gov/member/bob-clement/C000503,Tennessee,5,Democratic,House: 1987-2003
"Representative Clinger, William F., Jr.",https://www.congress.gov/member/william-clinger/C000523,Pennsylvania,5,Republican,House: 1979-1997
"Representative Clyburn, James E.",https://www.congress.gov/member/james-clyburn/C000537,South Carolina,6,Democratic,House: 1993-Present
"Representative Coble, Howard",https://www.congress.gov/member/howard-coble/C000556,North Carolina,6,Republican,House: 1985-2015
"Representative Coleman, Ronald D.",https://www.congress.gov/member/ronald-coleman/C000621,Texas,16,Democratic,House: 1983-1997
"Representative Collins, Barbara-Rose",https://www.congress.gov/member/barbara-rose-collins/C000633,Michigan,15,Democratic,House: 1991-1997
"Representative Collins, Cardiss",https://www.congress.gov/member/cardiss-collins/C000634,Illinois,7,Democratic,House: 1973-1997
"Representative Collins, Mac",https://www.congress.gov/member/mac-collins/C000640,Georgia,8,Republican,House: 1993-2005
"Representative Combest, Larry",https://www.congress.gov/member/larry-combest/C000653,Texas,19,Republican,House: 1985-2003
"Representative Condit, Gary A.",https://www.congress.gov/member/gary-condit/C000670,California,18,Democratic,House: 1989-2003
"Representative Conyers, John, Jr.",https://www.congress.gov/member/john-conyers/C000714,Michigan,13,Democratic,House: 1965-2017
"Representative Cooper, Jim",https://www.congress.gov/member/james-cooper/C000754,Tennessee,5,Democratic,"House: 1983-1995, 2003-Present"
"Representative Coppersmith, Sam",https://www.congress.gov/member/sam-coppersmith/C000767,Arizona,1,Democratic,House: 1993-1995
"Representative Costello, Jerry F.",https://www.congress.gov/member/jerry-costello/C000794,Illinois,12,Democratic,House: 1987-2013
"Representative Cox, Christopher",https://www.congress.gov/member/christopher-cox/C000830,California,48,Republican,House: 1989-2007
"Representative Coyne, William J.",https://www.congress.gov/member/william-coyne/C000846,Pennsylvania,14,Democratic,House: 1981-2003
"Representative Cramer, Robert E. (Bud), Jr.",https://www.congress.gov/member/robert-cramer/C000868,Alabama,5,Democratic,House: 1991-2009
"Representative Crane, Philip M.",https://www.congress.gov/member/philip-crane/C000873,Illinois,8,Republican,House: 1969-2005
"Senator Crapo, Mike",https://www.congress.gov/member/michael-crapo/C000880,Idaho,,Republican,Senate: 1999-Present | House: 1993-1999
"Representative Cunningham, Randy (Duke)",https://www.congress.gov/member/randy-cunningham/C000994,California,50,Republican,House: 1991-2007
"Representative Danner, Pat",https://www.congress.gov/member/pat-danner/D000046,Missouri,6,Democratic,House: 1993-2001
"Representative Darden, George (Buddy)",https://www.congress.gov/member/george-darden/D000051,Georgia,7,Democratic,House: 1983-1995
"Representative de la Garza, E.",https://www.congress.gov/member/e-de-la-garza/D000203,Texas,15,Democratic,House: 1965-1997
"Representative de Lugo, Ron",https://www.congress.gov/member/ron-de-lugo/D000209,Virgin Islands,,Democratic,"House: 1973-1979, 1981-1995"
"Representative Deal, Nathan",https://www.congress.gov/member/nathan-deal/D000168,Georgia,9,Republican,House: 1993-2010
"Representative DeFazio, Peter A.",https://www.congress.gov/member/peter-defazio/D000191,Oregon,4,Democratic,House: 1987-Present
"Representative DeLauro, Rosa L.",https://www.congress.gov/member/rosa-delauro/D000216,Connecticut,3,Democratic,House: 1991-Present
"Representative DeLay, Tom",https://www.congress.gov/member/tom-delay/D000217,Texas,22,Republican,House: 1985-2007
"Representative Dellums, Ronald V.",https://www.congress.gov/member/ronald-dellums/D000222,California,9,Democratic,House: 1971-1999
"Representative Derrick, Butler C.",https://www.congress.gov/member/butler-derrick/D000267,South Carolina,3,Democratic,House: 1975-1995
"Representative Deutsch, Peter",https://www.congress.gov/member/peter-deutsch/D000275,Florida,20,Democratic,House: 1993-2005
"Representative Diaz-Balart, Lincoln",https://www.congress.gov/member/lincoln-diaz-balart/D000299,Florida,21,Republican,House: 1993-2011
"Representative Dickey, Jay",https://www.congress.gov/member/jay-dickey/D000312,Arkansas,4,Republican,House: 1993-2001
"Representative Dicks, Norman D.",https://www.congress.gov/member/norman-dicks/D000327,Washington,6,Democratic,House: 1977-2013
"Representative Dingell, John D.",https://www.congress.gov/member/john-dingell/D000355,Michigan,12,Democratic,House: 1955-2015
"Representative Dixon, Julian C.",https://www.congress.gov/member/julian-dixon/D000373,California,32,Democratic,House: 1979-2003
"Representative Dooley, Calvin M.",https://www.congress.gov/member/cal-dooley/D000424,California,20,Democratic,House: 1991-2005
"Representative Doolittle, John T.",https://www.congress.gov/member/john-doolittle/D000429,California,4,Republican,House: 1991-2009
"Representative Dornan, Robert K.",https://www.congress.gov/member/robert-dornan/D000435,California,46,Republican,"House: 1977-1983, 1985-1997"
"Representative Dreier, David",https://www.congress.gov/member/david-dreier/D000492,California,26,Republican,House: 1981-2013
"Representative Duncan, John J., Jr.",https://www.congress.gov/member/john-duncan/D000533,Tennessee,2,Republican,House: 1987-2019
"Representative Dunn, Jennifer",https://www.congress.gov/member/jennifer-dunn/D000549,Washington,8,Republican,House: 1993-2005
"Senator Durbin, Richard J.",https://www.congress.gov/member/richard-durbin/D000563,Illinois,,Democratic,Senate: 1997-Present | House: 1983-1997
"Representative Edwards, Chet",https://www.congress.gov/member/chet-edwards/E000063,Texas,17,Democratic,House: 1991-2011
"Representative Edwards, Don",https://www.congress.gov/member/don-edwards/E000064,California,16,Democratic,House: 1963-1995
"Representative Ehlers, Vernon J.",https://www.congress.gov/member/vernon-ehlers/E000092,Michigan,3,Republican,House: 1993-2011
"Representative Emerson, Bill",https://www.congress.gov/member/bill-emerson/E000174,Missouri,8,Republican,House: 1981-1997
"Representative Engel, Eliot L.",https://www.congress.gov/member/eliot-engel/E000179,New York,16,Democratic,House: 1989-Present
"Representative English, Glenn",https://www.congress.gov/member/glenn-english/E000184,Oklahoma,6,Democratic,House: 1975-1995
"Representative English, Karan",https://www.congress.gov/member/karan-english/E000186,Arizona,6,Democratic,House: 1993-1995
"Representative Eshoo, Anna G.",https://www.congress.gov/member/anna-eshoo/E000215,California,18,Democratic,House: 1993-Present
"Representative Espy, Mike",https://www.congress.gov/member/mike-espy/E000218,Mississippi,2,Democratic,House: 1987-1995
"Representative Evans, Lane",https://www.congress.gov/member/lane-evans/E000250,Illinois,17,Democratic,House: 1983-2007
"Representative Everett, Terry",https://www.congress.gov/member/terry-everett/E000268,Alabama,2,Republican,House: 1993-2009
"Representative Ewing, Thomas W.",https://www.congress.gov/member/thomas-ewing/E000282,Illinois,15,Republican,House: 1991-2001
"Representative Faleomavaega, Eni F. H.",https://www.congress.gov/member/eni-faleomavaega/F000010,American Samoa,,Democratic,House: 1989-2015
"Representative Farr, Sam",https://www.congress.gov/member/sam-farr/F000030,California,20,Democratic,House: 1993-2017
"Representative Fawell, Harris W.",https://www.congress.gov/member/harris-fawell/F000049,Illinois,13,Republican,House: 1985-1999
"Representative Fazio, Vic",https://www.congress.gov/member/vic-fazio/F000053,California,3,Democratic,House: 1979-1999
"Representative Fields, Cleo",https://www.congress.gov/member/cleo-fields/F000110,Louisiana,4,Democratic,House: 1993-1997
"Representative Fields, Jack",https://www.congress.gov/member/jack-fields/F000111,Texas,8,Republican,House: 1981-1997
"Representative Filner, Bob",https://www.congress.gov/member/bob-filner/F000116,California,51,Democratic,House: 1993-2013
"Representative Fingerhut, Eric D.",https://www.congress.gov/member/eric-fingerhut/F000128,Ohio,19,Democratic,House: 1993-1995
"Representative Fish, Hamilton, Jr.",https://www.congress.gov/member/hamilton-fish/F000141,New York,19,Republican,House: 1969-1995
"Representative Flake, Floyd H.",https://www.congress.gov/member/floyd-flake/F000184,New York,6,Democratic,House: 1987-1999
"Representative Foglietta, Thomas M.",https://www.congress.gov/member/thomas-foglietta/F000235,Pennsylvania,1,Democratic,House: 1981-1999
"Representative Foley, Thomas S.",https://www.congress.gov/member/thomas-foley/F000239,Washington,5,Democratic,House: 1965-1995
"Representative Ford, Harold E.",https://www.congress.gov/member/harold-ford/F000261,Tennessee,9,Democratic,House: 1975-1997
"Representative Ford, William D.",https://www.congress.gov/member/william-ford/F000270,Michigan,13,Democratic,House: 1965-1995
"Representative Fowler, Tillie",https://www.congress.gov/member/tillie-fowler/F000328,Florida,4,Republican,House: 1993-2001
"Representative Frank, Barney",https://www.congress.gov/member/barney-frank/F000339,Massachusetts,4,Democratic,House: 1981-2013
"Representative Franks, Bob",https://www.congress.gov/member/bob-franks/F000349,New Jersey,7,Republican,House: 1993-2001
"Representative Franks, Gary A.",https://www.congress.gov/member/gary-franks/F000348,Connecticut,5,Republican,House: 1991-1997
"Representative Frost, Martin",https://www.congress.gov/member/martin-frost/F000392,Texas,24,Democratic,House: 1979-2005
"Representative Furse, Elizabeth",https://www.congress.gov/member/elizabeth-furse/F000434,Oregon,1,Democratic,House: 1993-1999
"Representative Gallegly, Elton",https://www.congress.gov/member/elton-gallegly/G000021,California,24,Republican,House: 1987-2013
"Representative Gallo, Dean A.",https://www.congress.gov/member/dean-gallo/G000025,New Jersey,11,Republican,House: 1985-1995
"Representative Gejdenson, Sam",https://www.congress.gov/member/samuel-gejdenson/G000120,Connecticut,2,Democratic,House: 1981-2001
