Downloaded on,4/19/19,12:23:57 EDT,,,
Search URL,https://www.congress.gov/search?searchResultViewType=expanded&q=%7B%22source%22%3A%22members%22%2C%22chamber%22%3A%22House%22%2C%22congress%22%3A%5B%22109%22%5D%7D,,,,
Name,URL,State,District,Party,Terms
"Representative Abercrombie, Neil",https://www.congress.gov/member/neil-abercrombie/A000014,Hawaii,1,Democratic,"House: 1985-1987, 1991-2011"
"Representative Ackerman, Gary L.",https://www.congress.gov/member/gary-ackerman/A000022,New York,5,Democratic,House: 1983-2013
"Representative Aderholt, Robert B.",https://www.congress.gov/member/robert-aderholt/A000055,Alabama,4,Republican,House: 1997-Present
"Representative Akin, W. Todd",https://www.congress.gov/member/w-akin/A000358,Missouri,2,Republican,House: 2001-2013
"Representative Alexander, Rodney",https://www.congress.gov/member/rodney-alexander/A000361,Louisiana,5,Republican,House: 2003-2013
"Representative Allen, Thomas H.",https://www.congress.gov/member/thomas-allen/A000357,Maine,1,Democratic,House: 1997-2009
"Representative Andrews, Robert E.",https://www.congress.gov/member/robert-andrews/A000210,New Jersey,1,Democratic,House: 1989-2014
"Representative Baca, Joe",https://www.congress.gov/member/joe-baca/B001234,California,43,Democratic,House: 1999-2013
"Representative Bachus, Spencer",https://www.congress.gov/member/spencer-bachus/B000013,Alabama,6,Republican,House: 1993-2015
"Representative Baird, Brian",https://www.congress.gov/member/brian-baird/B001229,Washington,3,Democratic,House: 1999-2011
"Representative Baker, Richard H.",https://www.congress.gov/member/richard-baker/B000072,Louisiana,6,Republican,House: 1987-2008
"Senator Baldwin, Tammy",https://www.congress.gov/member/tammy-baldwin/B001230,Wisconsin,,Democratic,Senate: 2013-Present | House: 1999-2013
"Representative Barrett, J. Gresham",https://www.congress.gov/member/j-barrett/B001239,South Carolina,3,Republican,House: 2003-2011
"Representative Barrow, John",https://www.congress.gov/member/john-barrow/B001252,Georgia,12,Democratic,House: 2005-2015
"Representative Bartlett, Roscoe G.",https://www.congress.gov/member/roscoe-bartlett/B000208,Maryland,6,Republican,House: 1993-2013
"Representative Barton, Joe",https://www.congress.gov/member/joe-barton/B000213,Texas,6,Republican,House: 1985-2019
"Representative Bass, Charles F.",https://www.congress.gov/member/charles-bass/B000220,New Hampshire,2,Republican,"House: 1995-2007, 2011-2013"
"Representative Bean, Melissa L.",https://www.congress.gov/member/melissa-bean/B001253,Illinois,8,Democratic,House: 2005-2011
"Representative Beauprez, Bob",https://www.congress.gov/member/bob-beauprez/B001240,Colorado,7,Republican,House: 2003-2007
"Representative Becerra, Xavier",https://www.congress.gov/member/xavier-becerra/B000287,California,34,Democratic,House: 1993-2017
"Representative Berkley, Shelley",https://www.congress.gov/member/shelley-berkley/B001231,Nevada,1,Democratic,House: 1999-2013
"Representative Berman, Howard L.",https://www.congress.gov/member/howard-berman/B000410,California,28,Democratic,House: 1983-2013
