Downloaded on,4/19/19,12:16:40 EDT,,,
Search URL,https://www.congress.gov/search?searchResultViewType=expanded&q=%7B%22source%22%3A%22members%22%2C%22congress%22%3A%22114%22%2C%22chamber%22%3A%22Senate%22%7D,,,,
Name,URL,State,District,Party,Terms
"Senator Alexander, Lamar",https://www.congress.gov/member/lamar-alexander/A000360,Tennessee,,Republican,Senate: 2003-Present
"Senator Ayotte, Kelly",https://www.congress.gov/member/kelly-ayotte/A000368,New Hampshire,,Republican,Senate: 2011-2017
"Senator Baldwin, Tammy",https://www.congress.gov/member/tammy-baldwin/B001230,Wisconsin,,Democratic,Senate: 2013-Present | House: 1999-2013
"Senator Barrasso, John",https://www.congress.gov/member/john-barrasso/B001261,Wyoming,,Republican,Senate: 2007-Present
"Senator Bennet, Michael F.",https://www.congress.gov/member/michael-bennet/B001267,Colorado,,Democratic,Senate: 2009-Present
"Senator Blumenthal, Richard",https://www.congress.gov/member/richard-blumenthal/B001277,Connecticut,,Democratic,Senate: 2011-Present
"Senator Blunt, Roy",https://www.congress.gov/member/roy-blunt/B000575,Missouri,,Republican,Senate: 2011-Present | House: 1997-2011
"Senator Booker, Cory A.",https://www.congress.gov/member/cory-booker/B001288,New Jersey,,Democratic,Senate: 2013-Present
"Senator Boozman, John",https://www.congress.gov/member/john-boozman/B001236,Arkansas,,Republican,Senate: 2011-Present | House: 2001-2011
"Senator Boxer, Barbara",https://www.congress.gov/member/barbara-boxer/B000711,California,,Democratic,Senate: 1993-2017 | House: 1983-1993
"Senator Brown, Sherrod",https://www.congress.gov/member/sherrod-brown/B000944,Ohio,,Democratic,Senate: 2007-Present | House: 1993-2007
"Senator Burr, Richard",https://www.congress.gov/member/richard-burr/B001135,North Carolina,,Republican,Senate: 2005-Present | House: 1995-2005
"Senator Cantwell, Maria",https://www.congress.gov/member/maria-cantwell/C000127,Washington,,Democratic,Senate: 2001-Present | House: 1993-1995
"Senator Capito, Shelley Moore",https://www.congress.gov/member/shelley-capito/C001047,West Virginia,,Republican,Senate: 2015-Present | House: 2001-2015
"Senator Cardin, Benjamin L.",https://www.congress.gov/member/benjamin-cardin/C000141,Maryland,,Democratic,Senate: 2007-Present | House: 1987-2007
"Senator Carper, Thomas R.",https://www.congress.gov/member/thomas-carper/C000174,Delaware,,Democratic,Senate: 2001-Present | House: 1983-1993
"Senator Casey, Robert P., Jr.",https://www.congress.gov/member/bob-casey/C001070,Pennsylvania,,Democratic,Senate: 2007-Present
"Senator Cassidy, Bill",https://www.congress.gov/member/bill-cassidy/C001075,Louisiana,,Republican,Senate: 2015-Present | House: 2009-2015
"Senator Coats, Daniel",https://www.congress.gov/member/daniel-coats/C000542,Indiana,,Republican,"Senate: 1989-1999, 2011-2017 | House: 1981-1989"
"Senator Cochran, Thad",https://www.congress.gov/member/thad-cochran/C000567,Mississippi,,Republican,Senate: 1979-2018 | House: 1973-1979
"Senator Collins, Susan M.",https://www.congress.gov/member/susan-collins/C001035,Maine,,Republican,Senate: 1997-Present
"Senator Coons, Christopher A.",https://www.congress.gov/member/christopher-coons/C001088,Delaware,,Democratic,Senate: 2010-Present
"Senator Corker, Bob",https://www.congress.gov/member/bob-corker/C001071,Tennessee,,Republican,Senate: 2007-2019
"Senator Cornyn, John",https://www.congress.gov/member/john-cornyn/C001056,Texas,,Republican,Senate: 2002-Present
"Senator Cotton, Tom",https://www.congress.gov/member/tom-cotton/C001095,Arkansas,,Republican,Senate: 2015-Present | House: 2013-2015
"Senator Crapo, Mike",https://www.congress.gov/member/michael-crapo/C000880,Idaho,,Republican,Senate: 1999-Present | House: 1993-1999
"Senator Cruz, Ted",https://www.congress.gov/member/ted-cruz/C001098,Texas,,Republican,Senate: 2013-Present
"Senator Daines, Steve",https://www.congress.gov/member/steve-daines/D000618,Montana,,Republican,Senate: 2015-Present | House: 2013-2015
"Senator Donnelly, Joe",https://www.congress.gov/member/joe-donnelly/D000607,Indiana,,Democratic,Senate: 2013-2019 | House: 2007-2013
"Senator Durbin, Richard J.",https://www.congress.gov/member/richard-durbin/D000563,Illinois,,Democratic,Senate: 1997-Present | House: 1983-1997
"Senator Enzi, Michael B.",https://www.congress.gov/member/michael-enzi/E000285,Wyoming,,Republican,Senate: 1997-Present
"Senator Ernst, Joni ",https://www.congress.gov/member/joni-ernst/E000295,Iowa,,Republican,Senate: 2015-Present
"Senator Feinstein, Dianne",https://www.congress.gov/member/dianne-feinstein/F000062,California,,Democratic,Senate: 1992-Present
"Senator Fischer, Deb",https://www.congress.gov/member/deb-fischer/F000463,Nebraska,,Republican,Senate: 2013-Present
"Senator Flake, Jeff",https://www.congress.gov/member/jeff-flake/F000444,Arizona,,Republican,Senate: 2013-2019 | House: 2001-2013
"Senator Franken, Al",https://www.congress.gov/member/al-franken/F000457,Minnesota,,Democratic,Senate: 2009-2018
"Senator Gardner, Cory",https://www.congress.gov/member/cory-gardner/G000562,Colorado,,Republican,Senate: 2015-Present | House: 2011-2015
"Senator Gillibrand, Kirsten E.",https://www.congress.gov/member/kirsten-gillibrand/G000555,New York,,Democratic,Senate: 2009-Present | House: 2007-2009
"Senator Graham, Lindsey",https://www.congress.gov/member/lindsey-graham/G000359,South Carolina,,Republican,Senate: 2003-Present | House: 1995-2003
"Senator Grassley, Chuck",https://www.congress.gov/member/charles-grassley/G000386,Iowa,,Republican,Senate: 1981-Present | House: 1975-1981
"Senator Hatch, Orrin G.",https://www.congress.gov/member/orrin-hatch/H000338,Utah,,Republican,Senate: 1977-2019
"Senator Heinrich, Martin",https://www.congress.gov/member/martin-heinrich/H001046,New Mexico,,Democratic,Senate: 2013-Present | House: 2009-2013
"Senator Heitkamp, Heidi",https://www.congress.gov/member/heidi-heitkamp/H001069,North Dakota,,Democratic,Senate: 2013-2019
"Senator Heller, Dean",https://www.congress.gov/member/dean-heller/H001041,Nevada,,Republican,Senate: 2011-2019 | House: 2007-2011
"Senator Hirono, Mazie K.",https://www.congress.gov/member/mazie-hirono/H001042,Hawaii,,Democratic,Senate: 2013-Present | House: 2007-2013
"Senator Hoeven, John",https://www.congress.gov/member/john-hoeven/H001061,North Dakota,,Republican,Senate: 2011-Present
"Senator Inhofe, James M.",https://www.congress.gov/member/jim-inhofe/I000024,Oklahoma,,Republican,Senate: 1994-Present | House: 1987-1995
"Senator Isakson, Johnny",https://www.congress.gov/member/johnny-isakson/I000055,Georgia,,Republican,Senate: 2005-Present | House: 1999-2005
"Senator Johnson, Ron",https://www.congress.gov/member/ron-johnson/J000293,Wisconsin,,Republican,Senate: 2011-Present
"Senator Kaine, Tim",https://www.congress.gov/member/timothy-kaine/K000384,Virginia,,Democratic,Senate: 2013-Present
"Senator King, Angus S., Jr.",https://www.congress.gov/member/angus-king/K000383,Maine,,Independent,Senate: 2013-Present
"Senator Kirk, Mark Steven",https://www.congress.gov/member/mark-kirk/K000360,Illinois,,Republican,Senate: 2010-2017 | House: 2001-2010
"Senator Klobuchar, Amy",https://www.congress.gov/member/amy-klobuchar/K000367,Minnesota,,Democratic,Senate: 2007-Present
"Senator Lankford, James",https://www.congress.gov/member/james-lankford/L000575,Oklahoma,,Republican,Senate: 2015-Present | House: 2011-2015
"Senator Leahy, Patrick J.",https://www.congress.gov/member/patrick-leahy/L000174,Vermont,,Democratic,Senate: 1975-Present
"Senator Lee, Mike",https://www.congress.gov/member/mike-lee/L000577,Utah,,Republican,Senate: 2011-Present
"Senator Manchin, Joe, III",https://www.congress.gov/member/joe-manchin/M001183,West Virginia,,Democratic,Senate: 2010-Present
"Senator Markey, Edward J.",https://www.congress.gov/member/edward-markey/M000133,Massachusetts,,Democratic,Senate: 2013-Present | House: 1977-2013
"Senator McCain, John",https://www.congress.gov/member/john-mccain/M000303,Arizona,,Republican,Senate: 1987-2018 | House: 1983-1987
"Senator McCaskill, Claire",https://www.congress.gov/member/claire-mccaskill/M001170,Missouri,,Democratic,Senate: 2007-2019
"Senator McConnell, Mitch",https://www.congress.gov/member/mitch-mcconnell/M000355,Kentucky,,Republican,Senate: 1985-Present
"Senator Menendez, Robert",https://www.congress.gov/member/robert-menendez/M000639,New Jersey,,Democratic,Senate: 2006-Present | House: 1993-2006
"Senator Merkley, Jeff",https://www.congress.gov/member/jeff-merkley/M001176,Oregon,,Democratic,Senate: 2009-Present
"Senator Mikulski, Barbara A.",https://www.congress.gov/member/barbara-mikulski/M000702,Maryland,,Democratic,Senate: 1987-2017 | House: 1977-1987
"Senator Moran, Jerry",https://www.congress.gov/member/jerry-moran/M000934,Kansas,,Republican,Senate: 2011-Present | House: 1997-2011
"Senator Murkowski, Lisa",https://www.congress.gov/member/lisa-murkowski/M001153,Alaska,,Republican,Senate: 2003-Present
"Senator Murphy, Christopher",https://www.congress.gov/member/christopher-murphy/M001169,Connecticut,,Democratic,Senate: 2013-Present | House: 2007-2013
"Senator Murray, Patty",https://www.congress.gov/member/patty-murray/M001111,Washington,,Democratic,Senate: 1993-Present
"Senator Nelson, Bill",https://www.congress.gov/member/clarence-nelson/N000032,Florida,,Democratic,Senate: 2001-2019 | House: 1979-1991
"Senator Paul, Rand",https://www.congress.gov/member/rand-paul/P000603,Kentucky,,Republican,Senate: 2011-Present
"Senator Perdue, David",https://www.congress.gov/member/david-perdue/P000612,Georgia,,Republican,Senate: 2015-Present
"Senator Peters, Gary C.",https://www.congress.gov/member/gary-peters/P000595,Michigan,,Democratic,Senate: 2015-Present | House: 2009-2015
"Senator Portman, Rob",https://www.congress.gov/member/rob-portman/P000449,Ohio,,Republican,Senate: 2011-Present | House: 1993-2007
"Senator Reed, Jack",https://www.congress.gov/member/john-reed/R000122,Rhode Island,,Democratic,Senate: 1997-Present | House: 1991-1997
